Searchable Database Results (in Constant 1995 US dollars per person)
"Economics - Business - and the Environment -- GDP: Per capita, 1995 constant US dollars"

Country / Region,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,
World,5631.7 ,5491.5 ,5406.6 ,5364.1 ,5256.8 ,5165.0 ,5099.0 ,5019.0 ,5020.0 ,5005.4 ,5016.6 ,4963.5 ,4866.8 ,4733.7 ,
"Albania",978.9,908.9,846.5,782.1,836.4,761.2,692.4,626.0,565.6,606.6,838.7,938.1,870.6,905.2,
"Algeria",1611.6,1602.2,1580.5,1531.0,1542.4,1510.2,1484.0,1528.7,1595.2,1602.0,1658.9,1685.0,1653.7,1713.1,
"Angola",506.1,510.2,507.8,488.7,473.8,444.5,416.4,425.2,577.8,630.4,646.8,667.6,682.3,662.0,
"Antigua and Barbuda",9581.8,9271.8,8934.3,8612.2,8231.6,7736.9,8101.2,7644.9,7278.8,7242.4,7122.7,6970.6,6614.0,6296.7,
"Argentina",7932.9,8073.7,8463.0,8252.6,7731.3,7421.4,7739.0,7409.2,7089.8,6419.4,5775.8,5999.9,6577.1,6845.7,
"Armenia",980.0,924.4,894.6,833.7,808.7,767.7,724.1,694.6,771.6,1344.0,1542.1,X,X,X,
"Australia",23893.0,23691.1,22969.2,22051.2,21285.3,20795.2,20181.7,19563.3,19039.8,18635.2,18836.7,19162.7,18767.2,18304.3,
"Austria",32886.0,31916.2,31021.4,30046.9,29699.3,29224.5,28933.0,28427.7,28572.1,28181.7,27489.3,26414.0,25460.0,24767.6,
"Azerbaijan",506.3,459.1,431.0,395.3,377.4,376.6,432.2,545.5,627.5,982.5,1003.9,1153.5,1248.9,1264.0,
"Bahamas",13871.3,13449.3,12941.9,12739.3,12519.5,12218.4,12414.2,12637.4,12675.9,13218.0,13867.8,13979.0,13906.9,13823.6,
"Bahrain",X,10900.9,10702.2,10437.6,10365.0,10213.4,10104.8,10439.6,9548.8,9249.6,8597.7,8513.7,8775.5,8485.6,
"Bangladesh",355.8,343.0,334.0,324.1,314.2,306.9,299.1,294.0,287.8,280.6,278.2,267.3,267.3,266.4,
"Barbados",8266.6,7966.9,7896.1,7611.9,7181.4,7079.8,7004.5,6765.4,6728.0,7110.5,7353.4,7754.2,7408.9,6997.1,
"Belarus",2711.1,2553.0,2460.6,2263.1,2026.9,1969.0,2196.5,2488.7,2697.2,2990.3,3035.9,3089.8,2863.6,2772.2,
"Belgium",30838.0,29689.5,28954.1,28329.2,27462.3,27218.4,26622.9,25942.8,26437.2,26114.4,25703.0,25089.4,24272.9,23257.3,
"Belize",3330.3,3086.1,2987.2,2953.4,2912.6,2914.7,2874.7,2872.2,2826.6,2631.8,2591.9,2396.5,2172.9,2043.4,
"Benin",414.2,402.0,393.9,386.4,375.3,365.8,360.7,357.1,357.0,355.2,350.6,350.5,371.8,370.0,
"Bermuda",X,X,X,34787.3,33962.4,33319.4,32125.7,32145.0,31414.5,31647.8,33036.7,33266.8,33360.4,32297.9,
"Bhutan",205.5,197.3,189.6,182.0,173.2,167.9,160.0,150.1,143.6,139.6,136.9,129.9,127.8,130.2,
"Bolivia",951.6,950.9,968.7,942.3,919.2,902.1,882.8,864.2,849.2,855.8,832.4,814.0,802.1,796.6,
"Bosnia and Herzegovina",1525.8,1489.9,1415.6,1344.0,1012.3,545.7,438.7,X,X,X,X,X,X,X,
"Botswana",4106.8,4014.5,3841.1,3681.7,3606.6,3444.0,3356.1,3325.6,3354.7,3354.2,3215.8,3091.1,2919.3,2637.3,
"Brazil",4624.4,4482.1,4505.0,4555.0,4470.7,4415.4,4296.9,4116.6,3983.3,4065.6,4078.4,4333.4,4269.4,4351.6,
"Brunei Darussalam",X,X,18015.4,18227.0,17915.0,17718.8,17633.5,17788.9,18193.4,18924.7,18710.8,18734.8,19484.6,19829.0,
"Bulgaria",1544.4,1443.5,1393.2,1330.4,1415.2,1559.1,1502.5,1464.4,1476.3,1581.6,1716.1,1875.3,1925.8,1725.1,
"Burkina Faso",246.3,247.4,238.2,228.9,223.3,212.6,208.4,210.9,206.5,207.1,193.5,202.0,205.9,198.6,
"Burundi",150.7,152.6,155.7,149.5,149.7,164.6,179.2,188.8,203.2,205.4,199.7,197.6,200.3,196.5,
"Cambodia",272.0,265.9,260.2,262.8,267.8,257.9,247.3,245.8,244.2,236.3,227.5,232.9,233.1,215.7,
"Cameroon",675.2,662.3,648.7,631.6,615.1,600.1,595.7,627.0,665.4,705.9,754.7,827.0,867.2,968.8,
"Canada",22536.5,21753.2,20984.6,20503.3,19832.4,19732.7,19410.5,18738.8,18529.0,18585.5,19191.5,19405.8,19219.4,18596.4,
"Cape Verde",1569.1,1502.9,1416.1,1349.5,1310.4,1289.3,1226.8,1173.0,1119.8,1107.9,1115.7,1131.1,1092.0,1050.5,
"Central African Rep",338.5,336.5,331.9,323.8,314.4,335.2,320.6,313.6,321.0,352.1,362.9,379.2,379.5,380.5,
"Chad",212.6,217.9,222.8,214.3,212.1,213.6,218.3,204.0,249.0,237.2,225.0,241.8,237.6,212.0,
"Chile",5354.3,5146.0,5274.1,5143.9,4850.8,4589.3,4212.6,4049.4,3847.8,3484.9,3282.5,3219.4,2961.6,2806.7,
"China",815.8,762.0,718.0,672.1,623.3,574.3,524.6,469.6,417.9,369.9,343.1,334.6,326.3,299.5,
"Colombia",2300.6,2275.6,2413.1,2442.5,2404.6,2400.1,2325.0,2239.6,2167.2,2127.6,2119.2,2078.0,2049.3,2008.6,
"Comoros",344.5,358.8,362.7,369.1,364.8,380.7,407.8,443.3,443.1,420.2,457.2,447.6,475.6,476.5,
"Congo",841.3,803.2,854.6,848.6,895.5,964.2,955.9,1043.4,1087.4,1093.4,1101.1,1124.7,1129.4,1143.0,
"Congo, Dem Rep",X,X,112.3,111.5,121.2,125.9,129.2,139.6,168.1,195.7,222.2,246.7,258.6,265.8,
"Costa Rica",3705.2,3728.3,3522.4,3329.4,3236.2,3296.7,3265.5,3214.5,3088.2,2919.9,2944.9,2929.9,2854.0,2838.0,
"Côte d'Ivoire",742.5,775.9,779.7,752.7,725.7,694.6,665.2,669.0,688.4,709.8,731.0,762.9,766.4,785.2,
"Croatia",4843.0,4671.3,4688.0,4574.2,4288.4,4059.7,3815.5,3623.3,3963.0,4513.9,5745.9,X,X,X,
"Cyprus",13581.8,13072.3,12626.0,12134.7,11980.6,11918.2,11416.1,10983.6,11124.5,10362.2,10454.1,9861.1,9228.7,8566.5,
"Czech Rep",5311.8,5153.3,5166.0,5221.5,5256.2,5037.0,4754.3,4653.2,4653.7,4681.2,5298.9,X,X,X,
"Denmark",38636.9,37639.5,36976.1,36117.2,35209.5,34476.3,33681.2,32056.4,32171.4,32077.6,31807.3,31568.0,31568.4,31220.3,
"Djibouti",783.0,797.0,804.4,828.1,860.5,913.0,949.7,986.6,1034.3,1052.7,1080.3,1159.3,1261.0,1354.7,
"Dominica",3486.9,3466.4,3458.7,3297.6,3245.8,3159.0,3094.8,3048.3,2994.6,2930.3,2906.9,2755.2,2754.3,2529.3,
"Dominican Rep",2061.9,1944.9,1835.8,1739.8,1635.5,1551.3,1505.1,1469.5,1451.3,1366.6,1377.5,1488.3,1444.8,1439.7,
"Ecuador",1425.1,1419.0,1559.9,1584.4,1563.8,1565.4,1562.2,1530.3,1533.3,1514.2,1475.2,1465.6,1496.7,1387.2,
"Egypt",1155.2,1118.5,1074.1,1036.1,1000.4,970.5,944.6,925.9,917.4,896.2,905.6,876.3,854.9,832.3,
"El Salvador",1751.4,1751.6,1727.6,1703.7,1668.5,1675.5,1609.0,1550.4,1475.1,1399.9,1377.3,1336.7,1344.9,1338.6,
"Equatorial Guinea",1599.6,1406.8,1021.9,860.9,516.4,410.5,368.9,360.4,348.1,322.4,333.7,329.5,339.2,336.5,
"Eritrea",173.6,196.4,201.4,199.3,188.9,179.9,176.5,161.3,165.6,X,X,X,X,X,
